FID	IID	pheno_3	pheno_4	pheno_5	pheno_6	pheno_7	pheno_8	pheno_9	pheno_11	pheno_12	pheno_13	pheno_14	pheno_15	pheno_16	pheno_17	pheno_18	pheno_20	pheno_21	pheno_23	pheno_24	pheno_25	pheno_26	pheno_27	pheno_29	pheno_30	pheno_33	pheno_34	pheno_35	pheno_36	pheno_39	pheno_40	pheno_41	pheno_42	pheno_43	pheno_45	pheno_47	pheno_48	pheno_49	pheno_54	pheno_55	pheno_56	pheno_59	pheno_60	pheno_61	pheno_62	pheno_63	pheno_64	pheno_65	pheno_66	pheno_70	pheno_72
1	1	NA	109.879928666339	119.905718696571	112.225582279148	111.335146032926	113.981322886518	109.072079092253	112.559790402851	114.208686493873	116.536350634416	111.63752611003	NA	105.494799841256	111.142620100197	110.151481493451	110.944616831305	NA	112.345529615202	114.467783390685	NA	104.943407985306	105.863087628804	109.132029994174	111.940100289239	108.332061105177	110.311561808665	109.158414200605	113.562732925901	110.751828198882	115.093020735153	NA	110.905366216289	114.268244989595	112.627590480887	107.177717365612	111.223256802862	111.460435771474	NA	117.676048205242	109.779732518428	111.631034732038	107.5233751488	111.114628575536	110.682688626062	113.311765170659	110.405194914185	119.587206132731	109.841728182021	107.305401776365	108.401005296697
2	2	116.756428317969	112.989060982767	115.079518960986	115.00644614319	113.279809507381	121.033011013909	112.259534662135	NA	120.194912862621	117.762538390294	115.079858098649	114.452014818904	118.29366523909	NA	116.754608041122	116.411212400409	117.23544023062	116.089895884582	117.262619972126	116.998060344003	NA	121.546151772749	112.498403510621	117.16576580148	117.65614453375	121.68895944243	127.997437228869	117.180778169627	113.723646572949	116.959965098938	118.52780377317	NA	116.045959297021	118.409775136194	115.004046062882	120.360975017185	116.830786769715	118.458377237509	117.506561754389	115.439647788483	123.681169010928	NA	118.51109138703	NA	119.417644429326	117.15110452584	123.62414088494	118.940126946092	NA	120.518376065972
5	5	116.250476201172	119.523357632204	116.149212420034	124.888658729516	120.46576191546	116.78595774671	123.046207292924	120.986505425922	118.394968557865	121.922736772482	122.760836225419	126.48468389147	NA	126.034440514969	120.187274076303	119.614263793512	121.326476617104	115.131933723823	121.098425188991	124.513727419516	121.919136094208	117.196913877025	121.147601430866	118.784837166952	114.120798833177	123.030065555117	124.450184273502	120.494181855386	128.554454764772	119.181723987249	126.637565804344	117.84226618763	122.316093243243	122.09868824034	127.394934291915	NA	118.317529694597	123.531864651039	115.557377373902	NA	121.986167571965	115.899819967858	124.108693483655	122.583918824597	NA	NA	121.797144212051	123.347475014498	123.95873463514	128.304984923737
7	7	106.781753943162	109.430327154246	114.098543377248	112.965337471238	120.225220244803	113.550701161138	114.04062731683	115.75076044419	118.165355351538	116.706766285053	105.886693146887	117.124265792819	109.140069892361	118.135517018856	120.762136082546	114.47330218151	110.651129688202	NA	115.159216626724	107.542157765519	114.984088490698	115.118549364244	115.7047318187	121.253869495031	NA	114.275124785633	116.072720488777	111.895977396291	114.364440135631	114.779795033751	NA	111.397219781692	116.654598235849	NA	116.706846558638	112.035340646621	118.689222771085	111.306403777724	NA	111.598200695811	117.389913164643	114.551526639462	118.073681937621	114.199963464225	110.33908575955	NA	114.824419648588	115.818492878486	111.90738121055	116.663710061046
8	8	122.225911881128	128.726107844842	NA	129.317199200233	118.504765642506	130.256628184837	121.011182612302	120.56138859344	124.819408734471	128.919334502186	129.747825977193	120.572839620294	121.484527968861	128.672402317394	127.509199784423	127.051307103589	NA	122.736795931633	127.099658898194	129.487104045529	121.399602893527	126.102400573932	126.340471061626	126.756796983259	122.11431049317	123.009502611914	122.572940552323	122.668699408204	127.920940084102	123.528902704198	125.383271465167	126.528365031934	121.704288777247	NA	124.465193205595	126.410500371514	118.722799558053	124.996918845132	123.656518861857	126.289254962	126.138215465237	125.675341800442	126.781505032731	125.062223816387	123.664228746249	128.354424222654	NA	124.880921243268	124.106973999732	120.73021041449
9	9	128.273166355934	125.216738231172	127.029290597831	121.177814246026	125.768413408302	124.498345481774	123.66626112658	121.777700897538	125.286199330738	126.299445611168	123.051825425473	119.573327103907	126.51869780321	127.205892379005	123.104387337978	118.735551544244	124.24588734421	128.975491939422	122.740367274198	126.052361549678	121.531966495819	NA	127.65428499826	NA	116.25604350074	126.133890000898	128.714947137718	129.705212692621	126.527987338948	128.477026532274	131.771207115523	123.70856380927	124.586775741665	121.496428653852	120.099638777241	131.09452612432	126.230119134211	126.560856225695	NA	124.512012378675	120.726473330507	125.115681837971	122.72851535591	125.954984686993	119.170459172342	132.70990332836	122.794877662804	NA	NA	125.178456848465
10	10	111.368345552707	116.414235087365	106.42143963172	104.683058073951	114.672592131766	109.558848918088	NA	NA	NA	114.552720643259	107.115450825009	NA	109.510872278217	106.515867311598	113.31424907481	111.08760030756	NA	104.759654957167	112.874466253633	NA	108.012307490054	104.678043569884	109.795469006438	109.131568931413	110.328776849129	108.008153114114	110.589909078209	110.189652762991	114.306259020991	103.687114353416	108.390842976619	107.175964222834	113.763540326881	NA	114.100093520474	115.691905968158	103.379419894971	110.723459509788	116.243326402878	115.02096636059	106.55860277815	108.333026595961	113.739359116378	NA	112.494616204846	110.227381135863	109.236551291237	109.337517821513	NA	110.082945236853
12	12	112.008732071216	112.742668689203	117.838627438489	115.264381713086	117.218774018296	114.866023246672	115.42863618337	115.830863840766	114.879723827504	111.953682498104	116.846861946335	121.729923148135	117.882657787848	105.462577486543	116.956639327471	115.224862945367	112.787778832808	114.317924043392	112.007769621758	111.6811625171	116.916481185272	122.18564011202	118.7930764221	NA	118.93050122902	112.334041112125	NA	118.142443977513	110.685616097026	114.379575369293	112.206600933615	117.364445127525	NA	119.052387803715	111.894676540455	115.46867383371	117.592881739993	110.965825018409	117.671346991586	NA	115.637920623841	NA	113.317465067894	113.958026386801	NA	110.335810138563	114.111267455522	116.376626811011	116.883145866103	115.355103650921
14	14	123.496951188993	121.587975243251	126.225462169759	132.617400840087	128.506126746766	134.637904357846	127.201465960883	126.297084019247	128.603369423036	123.47833477171	130.831072653024	129.018104432379	123.490118368197	134.513942744938	127.64304735561	127.549716420921	126.065207434264	126.957197684156	130.540805755583	126.624173457043	131.826920559307	130.331472502792	134.442029580647	128.425154821074	122.309395400174	134.673654681416	129.853315770718	129.30081465061	133.342328417522	129.099556991081	NA	132.332105475848	127.147558919004	123.755469577242	NA	NA	134.79703054098	129.651952048524	127.353671765012	NA	130.100901427457	130.640488661413	128.289312021686	126.362215560435	127.054612713524	NA	123.300584872945	128.542982555259	NA	133.95569645226
16	16	NA	114.612634716887	110.040624850125	101.907711713952	114.131093854399	112.944678540456	108.103898786649	109.009421458929	NA	115.806379609896	111.993651334396	115.509439678155	113.808071990099	107.621191886056	105.21763002551	107.734316287035	105.176907002022	109.419197579348	106.041250036705	111.873423866408	112.330774515192	115.625200368076	114.041134213182	116.478612175083	107.177879575678	105.848350864066	109.555864316016	108.117386437999	107.536056841127	102.900725722122	113.759810463803	113.56233338087	110.290520630818	111.549214193603	107.996051720244	NA	119.698626489094	107.149497635193	110.635672859318	110.66590743307	105.507285200136	103.405960050199	NA	111.393275120955	109.025671852923	115.17527276442	105.796593326083	115.846656977048	107.570635772071	107.248219725944
